datum,georegion,entries
2020-07-20,VS,0
2021-06-03,CHFL,17
2021-06-04,CHFL,25
2021-06-05,CHFL,13
2021-06-06,CHFL,13
2021-06-07,CHFL,18
2021-06-08,CHFL,11
2021-06-09,CHFL,14
2021-06-10,CHFL,12
2021-06-11,CHFL,9
2021-06-12,CHFL,8
2021-06-13,CHFL,6
2021-06-14,CHFL,14
2021-06-15,CHFL,12
2021-06-16,CHFL,5
2021-06-17,CHFL,5
2020-10-30,CH,305
2021-06-18,CHFL,6
2021-06-19,CHFL,6
2021-06-20,CHFL,3
2021-06-21,CHFL,8
2021-06-22,CHFL,9
2021-06-24,CHFL,1
2021-06-26,CHFL,0
2021-06-27,CHFL,4
2021-06-28,CHFL,6
2021-06-29,CHFL,2
2021-06-30,CHFL,1
2021-07-02,CHFL,3
2021-07-03,CHFL,1
2020-07-21,VS,0
2021-07-07,CHFL,5
2021-07-08,CHFL,6
2021-07-09,CHFL,6
2021-07-10,CHFL,2
2021-07-11,CHFL,2
2021-07-12,CHFL,12
2021-07-13,CHFL,6
2021-07-14,CHFL,4
2021-07-15,CHFL,10
2021-07-16,CHFL,11
2021-07-17,CHFL,13
2021-07-18,CHFL,10
2021-07-19,CHFL,10
2021-07-20,CHFL,10
2021-07-21,CHFL,15
2022-03-13,SZ,1
2020-07-22,VS,1
2020-06-10,CH,1
2021-07-22,CHFL,20
2021-07-23,CHFL,18
2021-07-25,CHFL,10
2021-07-26,CHFL,12
2021-07-27,CHFL,17
2021-07-28,CHFL,19
2021-07-29,CHFL,20
2021-07-30,CHFL,23
2021-07-31,CHFL,17
2021-08-01,CHFL,18
2021-10-11,TI,0
2021-08-02,CHFL,25
2020-07-23,VS,0
2021-04-27,BE,9
2020-06-11,CH,1
2021-08-03,CHFL,24
2021-08-04,CHFL,25
2021-08-05,CHFL,35
2021-08-06,CHFL,21
2021-08-07,CHFL,32
2021-08-08,CHFL,22
2021-08-09,CHFL,46
2021-08-10,CHFL,36
2022-03-14,SZ,6
2021-10-24,TI,0
2021-10-10,GL,0
2021-08-11,CHFL,57
2022-03-15,SZ,2
2020-07-24,VS,0
2020-06-12,CH,3
2021-08-12,CHFL,46
2021-08-13,CHFL,60
2021-08-16,CHFL,75
2021-08-17,CHFL,83
2021-08-18,CHFL,78
2021-08-19,CHFL,84
2021-08-20,CHFL,83
2021-08-21,CHFL,61
2021-08-22,CHFL,78
2021-08-23,CHFL,100
2021-11-03,TI,0
2021-08-24,CHFL,72
2021-08-25,CHFL,68
2021-08-26,CHFL,79
2021-08-27,CHFL,71
2021-08-28,CHFL,48
2021-08-29,CHFL,62
2021-08-30,CHFL,81
2021-08-31,CHFL,68
2021-09-01,CHFL,65
2021-09-04,CHFL,46
2021-09-09,CHFL,47
2021-09-10,CHFL,49
2021-09-11,CHFL,46
2021-09-12,CHFL,44
2021-09-13,CHFL,58
2021-09-14,CHFL,50
2021-09-15,CHFL,45
2021-09-16,CHFL,40
2021-09-17,CHFL,61
2021-09-18,CHFL,34
2021-09-19,CHFL,34
2021-09-20,CHFL,46
2021-09-21,CHFL,45
2021-09-22,CHFL,45
2021-09-23,CHFL,33
2021-09-24,CHFL,36
2021-09-25,CHFL,21
2021-09-26,CHFL,30
2021-09-27,CHFL,49
2021-09-28,CHFL,26
2021-09-29,CHFL,26
2021-09-30,CHFL,19
2021-10-01,CHFL,27
2021-10-02,CHFL,16
2021-10-03,CHFL,27
2021-10-04,CHFL,35
2021-10-05,CHFL,26
2021-10-06,CHFL,33
2021-10-07,CHFL,19
2021-10-08,CHFL,25
2021-10-09,CHFL,20
2021-10-10,CHFL,19
2021-10-11,CHFL,23
2021-10-12,CHFL,37
2021-10-13,CHFL,24
2021-10-14,CHFL,20
2021-10-15,CHFL,31
2021-10-16,CHFL,21
2021-10-17,CHFL,17
2021-10-18,CHFL,24
2021-10-19,CHFL,31
2021-10-20,CHFL,35
2021-10-24,CHFL,26
2021-10-27,CHFL,35
2021-10-28,CHFL,35
2021-10-29,CHFL,30
2021-10-30,CHFL,38
2021-10-31,CHFL,42
2021-11-01,CHFL,52
2021-11-02,CHFL,48
2021-11-03,CHFL,49
2021-11-04,CHFL,46
2021-11-05,CHFL,40
2021-11-06,CHFL,46
2021-11-07,CHFL,39
2021-11-08,CHFL,51
2021-11-09,CHFL,66
2021-11-10,CHFL,63
2021-11-11,CHFL,62
2021-11-12,CHFL,65
2021-11-13,CHFL,67
2021-11-14,CHFL,57
2021-11-15,CHFL,106
2021-11-16,CHFL,77
2020-11-01,CH,213
2021-11-17,CHFL,89
2021-11-18,CHFL,103
2021-11-19,CHFL,97
2021-11-20,CHFL,69
2021-11-21,CHFL,78
2021-11-22,CHFL,107
2021-11-26,CHFL,126
2021-11-27,CHFL,105
2021-11-28,CHFL,103
2021-11-29,CHFL,145
2021-11-30,CHFL,116
2021-12-01,CHFL,137
2020-07-25,VS,0
2020-07-26,VS,0
2020-07-27,VS,0
2021-04-20,BE,3
2020-06-13,CH,0
2020-11-02,CH,305
2020-11-04,CH,224
2021-12-02,CHFL,143
2021-12-03,CHFL,144
2021-12-04,CHFL,111
2022-02-17,GL,0
2022-02-21,TI,0
2020-07-28,VS,0
2022-03-17,SZ,3
2021-12-05,CHFL,98
2021-12-27,FL,1
2020-07-29,VS,0
2021-12-06,CHFL,147
2021-12-07,CHFL,143
2021-12-08,CHFL,133
2021-12-10,CHFL,146
2021-12-11,CHFL,104
2021-12-12,CHFL,99
2021-12-13,CHFL,140
2021-12-14,CHFL,116
2021-12-15,CHFL,128
2021-12-16,CHFL,116
2021-12-17,CHFL,117
2021-12-18,CHFL,106
2021-12-19,CHFL,100
2021-12-20,CHFL,142
2021-12-21,CHFL,149
2021-12-22,CHFL,119
2021-12-23,CHFL,131
2021-12-24,CHFL,108
2021-12-25,CHFL,108
2021-12-26,CHFL,106
2021-12-27,CHFL,114
2021-12-28,CHFL,152
2021-12-31,CHFL,114
2022-01-01,CHFL,108
2022-01-02,CHFL,106
2022-01-03,CHFL,151
2022-01-04,CHFL,168
2022-01-05,CHFL,152
2022-01-06,CHFL,147
2022-01-07,CHFL,136
2022-01-08,CHFL,86
2022-01-09,CHFL,80
2022-01-10,CHFL,146
2022-01-11,CHFL,114
2022-01-12,CHFL,131
2022-01-13,CHFL,127
2022-01-14,CHFL,116
2022-01-15,CHFL,97
2022-01-16,CHFL,90
2022-01-17,CHFL,140
2022-01-18,CHFL,121
2022-01-19,CHFL,171
2022-01-20,CHFL,136
2022-01-21,CHFL,126
2022-01-22,CHFL,107
2022-01-23,CHFL,91
2022-01-24,CHFL,155
2022-01-25,CHFL,165
2022-01-26,CHFL,153
2022-01-27,CHFL,124
2022-01-28,CHFL,147
2022-01-29,CHFL,97
2022-01-30,CHFL,113
2022-01-31,CHFL,158
2022-02-01,CHFL,146
2022-02-02,CHFL,138
2022-02-03,CHFL,145
2022-02-04,CHFL,152
2022-02-05,CHFL,107
2022-02-06,CHFL,79
2022-02-07,CHFL,149
2022-02-08,CHFL,130
2022-02-09,CHFL,119
2022-02-10,CHFL,125
2022-02-11,CHFL,105
2022-02-12,CHFL,72
2022-02-13,CHFL,98
2022-02-14,CHFL,125
2022-02-15,CHFL,113
2022-02-16,CHFL,106
2020-07-30,VS,0
2022-02-17,CHFL,109
2022-02-18,CHFL,94
2022-02-19,CHFL,67
2022-02-20,CHFL,74
2022-02-21,CHFL,116
2022-02-22,CHFL,108
2022-02-23,CHFL,90
2022-02-24,CHFL,88
2022-02-25,CHFL,70
2022-02-26,CHFL,66
2022-02-27,CHFL,71
2022-02-28,CHFL,121
2022-03-01,CHFL,124
2020-07-31,VS,0
2020-08-05,VS,0
2022-03-02,CHFL,130
2022-03-03,CHFL,108
2022-03-04,CHFL,127
2022-03-05,CHFL,92
2022-03-06,CHFL,110
2022-03-07,CHFL,162
2022-03-08,CHFL,133
2022-03-09,CHFL,145
2022-03-10,CHFL,139
2022-03-11,CHFL,156
2022-03-12,CHFL,119
2022-03-13,CHFL,109
2020-08-06,VS,0
2020-08-07,VS,0
2020-08-09,VS,0
2021-05-01,BE,13
2022-06-14,GL,0
2020-06-27,CH,1
2020-06-30,CH,8
2022-03-14,CHFL,174
2022-03-15,CHFL,148
2022-03-20,SZ,1
2022-06-15,GL,0
2022-03-21,SZ,3
2022-03-16,CHFL,134
2022-03-17,CHFL,151
2021-04-28,BE,4
2021-04-29,BE,4
2020-08-10,VS,0
2020-08-11,VS,1
2020-08-14,VS,3
2020-08-16,VS,0
2022-06-24,GL,2
2022-03-22,SZ,2
2022-03-23,SZ,7
2020-07-01,CH,6
2020-07-02,CH,5
2021-12-30,FL,0
2021-12-31,FL,1
2022-03-26,SZ,0
2022-03-27,SZ,2
2022-03-28,SZ,0
2022-03-29,SZ,0
2020-08-17,VS,0
2020-08-18,VS,0
2020-08-19,VS,0
2020-07-03,CH,5
2020-07-04,CH,2
2020-08-20,VS,0
2020-08-21,VS,1
2020-07-07,CH,7
2020-07-08,CH,5
2022-03-18,CHFL,156
2022-03-19,CHFL,105
2022-03-20,CHFL,134
2022-03-21,CHFL,146
2022-03-22,CHFL,137
2022-03-23,CHFL,155
2022-03-24,CHFL,112
2022-03-25,CHFL,116
2022-03-26,CHFL,91
2022-03-27,CHFL,94
2022-03-28,CHFL,145
2022-03-29,CHFL,116
2022-03-30,CHFL,115
2022-03-31,CHFL,89
2020-11-09,CH,289
2022-04-01,CHFL,102
2022-04-02,CHFL,64
2022-04-03,CHFL,72
2022-04-04,CHFL,92
2022-04-05,CHFL,98
2022-04-06,CHFL,57
2022-04-07,CHFL,54
2022-04-08,CHFL,69
2022-04-09,CHFL,56
2022-04-10,CHFL,49
2022-04-11,CHFL,75
2022-04-12,CHFL,51
2020-08-22,VS,0
2020-09-07,LU,0
2020-08-23,VS,0
2020-07-12,CH,12
2022-03-31,SZ,1
2020-07-15,CH,8
2022-04-13,CHFL,80
2022-04-14,CHFL,61
2022-04-15,CHFL,49
2022-04-16,CHFL,41
2022-04-17,CHFL,43
2022-04-18,CHFL,43
2020-08-24,VS,0
2022-04-19,CHFL,55
2022-04-20,CHFL,46
2022-04-21,CHFL,49
2022-04-22,CHFL,44
2022-04-23,CHFL,34
2022-04-24,CHFL,39
2022-04-25,CHFL,50
2022-04-26,CHFL,36
2022-04-27,CHFL,27
2022-04-28,CHFL,23
2022-04-29,CHFL,40
2022-04-30,CHFL,26
2022-05-01,CHFL,15
2022-05-02,CHFL,38
2022-05-03,CHFL,43
2022-05-04,CHFL,21
2022-05-05,CHFL,31
2022-05-06,CHFL,21
2022-05-07,CHFL,23
2022-05-08,CHFL,10
2022-05-09,CHFL,34
2022-05-10,CHFL,25
2022-05-11,CHFL,29
2022-05-12,CHFL,24
2022-05-13,CHFL,29
2022-05-14,CHFL,16
2022-05-15,CHFL,16
2022-05-16,CHFL,17
2022-05-17,CHFL,22
2022-05-18,CHFL,23
2022-05-19,CHFL,33
2022-05-20,CHFL,19
2022-05-21,CHFL,8
2022-05-22,CHFL,12
2022-05-23,CHFL,19
2022-05-24,CHFL,21
2022-05-25,CHFL,15
2022-05-26,CHFL,13
2022-05-27,CHFL,22
2022-05-28,CHFL,11
2022-05-29,CHFL,16
2022-05-30,CHFL,19
2022-05-31,CHFL,27
2022-06-01,CHFL,25
2022-06-02,CHFL,33
2022-06-03,CHFL,19
2022-06-04,CHFL,17
2022-06-05,CHFL,17
2022-06-06,CHFL,25
2022-06-07,CHFL,47
2022-06-08,CHFL,24
2022-06-09,CHFL,43
2022-06-10,CHFL,29
2022-06-11,CHFL,29
2022-06-12,CHFL,23
2022-06-13,CHFL,46
